Sr_No,visit_date,Company_Name,Comp,IT,ENTC,Sal_lpa,total_no,total
1,02-08-2022,Siemens,4,1,4,11,9,99
2,02-08-2022,Siemens,1,2,8,11,11,121
3,04-08-2022,Espressif Systems,1,0,0,18.9,1,18.9
4.a,07-08-2022,Ittiam Systems,0,1,0,16,1,16
4.b,07-08-2022,Ittiam Systems,3,1,1,16,5,80
5,06-08-2022,FinIQ,2,1,1,15,4,60
6,14-08-2022,Trilogy Innovations,0,0,0,36.5,0,0
7,08-08-2022,Bajaj Finserv,17,8,27,12.8,52,665.6
8,09-08-2022,Avaya,3,4,2,12,9,108
9,01-08-2022,PhonePe,2,1,1,33.14,4,132.56
10.a,25-08-2022,UBS,6,5,7,12.5,18,225
10.b,25-08-2022,UBS,5,6,4,12.5,15,187.5
11.a,27-07-2022,Deutsche Bank,15,8,10,19.63,33,647.79
11.b,27-07-2022,Deutsche Bank,2,1,0,19.63,3,58.89
12,27-07-2022,ZS Associates,1,1,3,12.58,5,62.9
13,27-07-2022,BMC Software,4,4,0,14,8,112
14,27-07-2022,Tracelink,4,0,0,12.75,4,51
15,27-07-2022,Goldman Sachs,1,1,0,24,2,48
16,27-07-2022,Adobe,1,2,0,47.27,3,141.81
17,13-08-2022,TIAA India,4,0,4,10.48,8,83.84
18,13-08-2022,Barclays,4,10,0,13.32,14,186.48
19.a,16-08-2022,EO Technologic,6,2,0,13.88,8,111.04
19.b,16-08-2022,EQ Technologic,0,0,3,11.13,3,33.39
20.a,11-08-2022,Mastercard,3,1,0,13.4,4,53.6
20.b,18-10-2022,Mastercard,15,0,1,13.4,16,214.4
20.c,19-12-2022,Mastercard,2,1,1,13.4,4,53.6
21,12-08-2022,BNY Mellon,9,7,4,21.64,20,432.8
22,13-01-2023,Kylas,2,2,0,13,4,52
23,15-08-2022,Turtlemint,4,1,0,18,5,90
24,01-09-2022,Barclays,13,9,0,12.6,22,277.2
25,17-08-2022,PubMatic India,10,6,0,13,16,208
26,25-08-2022,Druva,3,3,0,20.01,6,120.06
27,21-08-2022,Veritas India,0,2,0,15.97,2,31.94
28,21-08-2022,Ion,3,4,2,14.1,9,126.9
29,23-08-2022,IDeaS,2,2,0,10.17,4,40.68
30,30-08-2022,Toshiba,1,1,1,10,3,30
31,09-09-2022,HSBC,5,4,6,9,15,135
32,08-09-2022,Incubyte,0,1,2,11,3,33
33,08-09-2022,Ugam,0,2,0,9,2,18
34,13-09-2022,Elastic Run,1,1,0,8,2,16
35.a,14-10-2022,Trading Technologies,0,1,0,12,1,12
36,14-10-2022,Credit Suisse,6,2,0,18,8,144
37,05-09-2022,Aspect Ratio,1,1,0,14,2,28
38,02-09-2022,RIA Advisory LLP,3,2,4,9.25,9,83.25
39,26-08-2022,Lowe's India,1,0,0,18.36,1,18.36
40,05-09-2022,Principal Global Services,2,5,10,8,17,136
43,05-09-2022,Schlumberger,0,1,2,9.58,3,28.74
44,13-09-2022,ACI Worldwide,9,4,1,12,14,168
45,16-09-2022,ZS Associates,3,3,3,13.65,9,122.85
46,17-09-2022,CLSA,1,6,2,8.4,9,75.6
47,21-09-2022,Source.One,0,0,3,12,3,36
48,09-10-2022,Quantiphi Analytics,3,1,7,8.5,11,93.5
49,15-09-2022,e2open,8,12,0,7.5,20,180
50,19-09-2022,Searce,3,1,4,12,8,96
51,27-09-2022,NICE Inc.,5,2,13,8,20,160
52,28-09-2022,Amdocs,1,2,2,6.5,5,32.5
53,29-09-2022,Arista Networks,2,0,0,28.1,2,56.2
54,29-09-2022,Energy Exemplar,1,1,2,11,4,44
55,13-10-2022,Wissen Technology,3,3,4,8,10,80
56,18-10-2022,EXL,1,2,5,6.5,8,52
57,30-09-2022,Oracle,2,6,6,7,14,98
58,17-10-2022,Visteon,0,0,4,7,4,28
59,02-11-2022,Berkadia,1,1,0,8.5,2,17
60,18-10-2022,Datametica,1,1,1,10,3,30
61,27-10-2022,Infogen Labs,0,5,0,8,5,40
62.a,27-10-2022,Persistant,0,1,0,9,1,9
62.b,27-10-2022,Persistant,1,0,0,7.8,1,7.8
63,19-10-2022,Cloudlex,3,0,0,11.5,3,34.5
64,20-10-2022,HDFC Bank,2,2,1,12.42,5,62.1
65,28-10-2022,Promobi Technology,1,1,0,8,2,16
66,02-12-2022,TCS R&I,2,1,0,9,3,27
67,06-12-2022,RBL Bank,6,0,0,9,6,54
68,21-11-2022,Media.net,1,0,0,15.8,1,15.8
69,26-11-2022,Fold Health,3,0,0,9,3,27
70,27-11-2022,Launch Ventures,1,2,1,6,4,24
71,30-11-2022,Deloitte India,1,1,6,7,8,56
72,08-12-2022,Imagination Technologies,0,0,1,12,1,12
73,16-12-2022,Dragonfly Financial Technologies,0,7,3,12,10,120
74.a,21-12-2022,Findability Sciences,0,1,0,6,1,6
74.b,21-12-2022,Findability Sciences,1,0,0,8,1,8
75,23-12-2022,Miko,0,0,1,12,1,12
76,22-12-2022,Dataeaze,1,0,3,8,4,32
77,18-01-2023,AGCO,1,0,10,7.5,11,82.5
78,13-01-2023,Sell.Do (Beyondwalls),1,1,0,6,2,12
79,19-01-2023,Emerson,2,1,0,8,3,24
80,17-01-2023,Flextrade,1,0,0,11,1,11
81,30-01-2023,Nihilent,0,0,3,8,3,24
82,24-01-2023,Cutshort,0,0,1,7,1,7
83,20-01-2023,Veras Retail,1,0,1,7,2,14
84,27-01-2023,Bloomberg,3,0,0,11,3,33
85,07-02-2023,Facctum IT Solutions,0,1,1,6,2,12
86,21-02-2023,Zinrelo,3,1,0,8,4,32
87,02-03-2023,e-Emphasys,1,0,0,8,1,8
88,06-03-2023,ETraveli,0,2,0,8.5,2,17
89,20-02-2023,Metro GSC,0,0,2,8,2,16
90,21-02-2023,Suzlon,0,0,1,7.2,1,7.2
91,13-03-2023,64 Squares,3,0,0,9.6,3,28.8
92,05-03-2023,Cadence,0,0,1,15,1,15
93,14-05-2023,Avegen,2,1,0,6,3,18
94,25-02-2023,Altometa,1,0,1,15,2,30
95,25-02-2023,UPTIQ,1,2,0,22,3,66
96,25-02-2023,BBD,1,2,0,7.58,3,22.74
97,25-02-2023,Ordway Labs,2,4,3,8,9,72
98,25-02-2023,Ayaan Autonomous,2,2,0,6.35,4,25.4
99,23-12-2022,TCS Digital,1,0,0,7,1,7
